Rung_X,Rung_Y,Rung_Z
1.81,-3.97,-3.80
2.65,-1.83,11.10
-0.97,-0.79,-5.37
1.70,3.48,10.19
0.41,3.00,16.52
0.66,-0.25,8.57
1.50,2.70,7.16
-2.87,16.23,19.61
0.20,0.35,3.08
1.72,-1.88,13.46
0.19,-1.08,5.85
0.66,-2.68,3.05
0.45,5.53,14.70
-2.66,4.81,9.32
-0.74,2.28,-15.99
6.90,-10.81,16.19
6.49,2.46,19.61
-1.71,8.98,15.25
-0.56,2.32,15.74
1.87,-0.05,19.61
-0.48,1.40,15.30
1.15,1.44,5.20
0.20,-2.50,13.28
0.27,-0.96,10.61
2.91,-1.64,19.61
1.06,1.02,18.11
2.05,-7.26,19.61
0.84,0.89,17.92
-1.22,4.66,3.65
3.25,0.71,8.52
4.10,-4.61,16.05
4.01,-3.22,19.61
1.41,-2.43,14.69
0.10,0.12,14.31
0.41,7.06,10.63
1.41,5.19,12.59
1.85,3.56,19.61
2.16,-3.36,9.33
0.33,-1.58,11.96
4.05,3.36,14.66
1.73,-2.72,-2.83
-1.20,2.89,6.38
2.57,2.50,19.61
1.31,0.54,18.16
1.50,2.23,6.06
5.57,-15.53,5.83
-0.59,5.69,6.94
1.56,-0.46,8.51
0.41,-0.25,17.84
1.09,-0.32,16.92
0.56,-1.33,14.16
-0.69,0.49,7.02
0.63,1.36,16.95
-1.49,-1.61,11.71
0.14,0.89,19.61
-1.67,2.92,13.97
-2.14,2.63,5.27
1.41,-1.49,15.01
1.54,-0.87,18.76
-1.32,0.86,19.61
-1.60,3.66,-2.35
4.16,2.13,4.70
3.22,1.69,19.61
1.96,-3.04,18.84
2.01,4.44,13.41
0.08,10.17,-9.27
1.45,0.05,9.67
-0.44,0.99,7.68
3.32,0.98,19.61
2.29,-0.65,3.55
2.64,-1.93,-0.75
0.58,0.11,10.74
4.14,1.19,17.45
1.63,-2.39,8.11
2.37,4.12,18.72
2.22,-0.15,7.33
1.15,2.93,16.66
5.36,-4.96,9.60
-1.42,5.57,4.71
1.26,-1.04,11.62
1.92,-4.75,18.64
2.12,1.08,15.11
2.12,-1.51,19.61
-0.67,4.47,14.14
-0.48,1.07,-8.55
3.00,-1.91,19.61
3.79,2.03,19.61
-0.62,10.29,15.48
4.37,-7.19,8.48
-0.05,3.61,16.89
1.64,-3.71,7.94
1.47,-2.12,13.67
-0.17,-2.28,4.42
-1.39,1.39,5.42
1.87,-3.61,10.55
6.66,1.68,12.55
1.02,2.69,7.56
2.79,-9.97,12.09
3.98,-1.01,7.47
0.35,-2.13,11.36
1.70,7.53,15.29
-0.05,0.87,9.16
-0.13,2.69,12.65
5.57,-8.82,19.16
-0.83,-3.39,-4.20
1.88,-7.35,-3.74
3.34,-1.10,10.99
4.17,0.42,19.13
1.93,-0.97,19.61
0.04,-1.84,19.61
2.31,-1.27,8.60
7.88,-19.61,19.44
3.07,3.79,12.38
4.84,3.43,12.28
-0.55,2.74,14.59
-0.18,0.21,6.56
0.64,2.03,11.82
-2.16,-4.24,-9.54
2.09,4.57,13.16
3.75,-6.67,19.61
1.17,-2.38,5.74
0.10,-10.45,10.27
1.16,-0.10,11.65
3.34,-2.48,-1.37
