Rung_X,Rung_Y,Rung_Z
1.07,2.97,9.73
1.53,0.35,14.71
-0.06,3.22,9.74
0.48,1.04,17.20
-0.14,2.38,13.37
0.26,0.20,16.27
0.53,2.30,16.45
-0.42,1.69,10.92
-0.17,1.76,15.72
-1.19,1.09,11.21
2.29,0.98,9.75
0.41,0.47,11.73
3.56,2.67,16.02
0.22,-0.74,11.99
-0.14,2.93,10.84
2.28,-0.38,17.68
1.44,1.78,14.89
2.28,2.42,15.79
0.48,1.75,15.62
2.25,-1.94,19.28
0.20,1.13,10.40
0.37,1.30,17.26
2.44,1.69,11.03
1.43,2.03,14.42
1.72,1.00,7.37
0.78,-3.16,13.03
0.66,1.02,7.96
0.82,1.08,16.02
0.05,2.71,12.47
0.43,2.32,10.47
1.28,-0.04,14.17
2.02,-0.81,15.07
-1.09,1.75,5.18
0.73,-1.52,5.23
-0.44,3.21,5.60
2.03,0.41,16.01
0.91,-1.78,15.10
0.83,-0.46,9.08
1.24,2.52,12.03
-0.31,-0.23,0.78
0.42,1.31,12.51
0.97,1.09,14.60
1.95,0.94,9.90
2.36,3.96,11.85
2.50,1.69,13.33
1.98,-1.37,16.73
0.79,3.04,12.81
-0.05,1.47,11.49
-0.67,-0.38,7.44
1.42,1.55,7.11
-1.23,1.80,7.46
2.44,0.31,15.67
1.64,0.46,7.64
-0.86,3.01,12.18
0.57,-1.73,8.58
1.75,-1.87,6.16
2.01,-2.59,7.73
-0.68,0.10,6.35
0.51,0.57,12.88
1.05,-2.66,8.51
-0.02,1.82,12.10
0.31,0.22,10.99
-2.20,3.39,19.61
-0.62,2.72,12.57
-0.73,0.82,16.31
-0.47,0.31,9.99
0.36,0.05,11.10
0.50,3.31,8.77
1.54,0.30,14.71
1.24,2.08,11.38
-1.19,1.13,8.17
1.16,0.65,9.76
0.73,2.80,17.57
-1.09,3.68,11.78
-0.48,-0.57,12.28
1.42,0.81,5.79
0.40,-0.06,10.33
1.50,-0.97,13.86
-0.55,1.89,8.51
1.30,0.87,9.97
2.75,1.76,19.61
0.15,1.04,10.50
2.25,0.48,10.45
-0.28,1.80,11.12
-0.95,0.49,10.09
1.57,0.24,12.54
-0.19,2.81,19.61
0.34,2.28,16.54
0.23,-1.68,11.54
0.52,-0.42,15.26
0.68,2.00,13.66
0.88,2.29,16.08
2.84,-1.76,14.17
1.08,1.66,14.60
1.17,-0.47,8.94
3.38,1.41,15.98
0.30,2.17,14.41
-0.25,3.22,11.28
0.41,-0.09,8.71
2.67,-0.19,9.79
0.85,-0.14,12.44
2.43,2.68,15.09
0.98,1.09,4.00
1.25,-0.27,13.36
2.80,1.07,19.61
2.77,-4.31,16.36
0.80,1.39,13.20
-0.51,3.30,8.88
-0.02,0.28,9.20
-1.36,2.86,13.25
0.02,-0.49,8.45
1.97,-0.31,11.87
0.22,1.18,12.89
0.12,0.90,5.72
0.45,1.11,13.89
1.58,-0.13,9.93
-0.18,1.49,10.45
1.40,1.38,13.59
-0.44,2.85,10.52
0.91,1.02,9.49
-0.23,-2.49,9.01
0.85,0.92,15.44
1.55,1.34,14.48
-0.22,-0.34,15.58
0.88,0.52,11.61
0.70,2.05,11.55
2.52,0.61,12.98
0.70,-2.26,8.05
-0.00,1.70,13.43
-0.36,2.37,11.52
0.11,0.40,10.14
-1.10,1.54,13.93
-0.86,0.57,12.89
-0.33,1.78,14.05
3.26,2.40,6.77
1.26,1.10,11.53
0.09,2.05,11.10
1.56,-0.38,12.44
0.48,1.42,15.71
0.17,-0.05,11.16
0.18,0.63,12.67
0.33,2.10,13.36
0.02,-0.09,11.50
-0.81,1.91,10.42
-0.35,0.53,7.26
1.50,-1.51,14.29
0.53,-0.13,14.49
-0.28,1.53,12.26
0.37,-0.01,12.48
0.48,-1.14,10.58
-0.23,0.59,11.31
-1.38,4.43,12.43
-0.34,4.14,8.88
-
